symbol,name,asset_type,exchange,sector,currency
SPY,SPDR S&P 500 ETF Trust,Index ETF,NYSEARCA,Broad Market,USD
IVV,iShares Core S&P 500 ETF,Index ETF,NYSEARCA,Broad Market,USD
VOO,Vanguard S&P 500 ETF,Index ETF,NYSEARCA,Broad Market,USD
QQQ,Invesco QQQ Trust,Index ETF,NASDAQ,Technology,USD
VTI,Vanguard Total Stock Market ETF,Index ETF,NYSEARCA,Broad Market,USD
ITOT,iShares Core S&P Total U.S. Stock Market ETF,Index ETF,NYSEARCA,Broad Market,USD
SCHB,Schwab U.S. Broad Market ETF,Index ETF,NYSEARCA,Broad Market,USD
IWM,iShares Russell 2000 ETF,Index ETF,NYSEARCA,Small Cap,USD
MDY,SPDR S&P MidCap 400 ETF,Index ETF,NYSEARCA,Mid Cap,USD
IJR,iShares Core S&P Small-Cap ETF,Index ETF,NYSEARCA,Small Cap,USD
DIA,SPDR Dow Jones Industrial Average ETF,Index ETF,NYSEARCA,Broad Market,USD
RSP,Invesco S&P 500 Equal Weight ETF,Index ETF,NYSEARCA,Broad Market,USD
OEF,iShares S&P 100 ETF,Index ETF,NYSEARCA,Broad Market,USD
VEA,Vanguard FTSE Developed Markets ETF,Index ETF,NYSEARCA,International,USD
VWO,Vanguard FTSE Emerging Markets ETF,Index ETF,NYSEARCA,Emerging Markets,USD
EFA,iShares MSCI EAFE ETF,Index ETF,NYSEARCA,International,USD
EEM,iShares MSCI Emerging Markets ETF,Index ETF,NYSEARCA,Emerging Markets,USD
ACWI,iShares MSCI ACWI ETF,Index ETF,NASDAQ,Broad Market,USD
VT,Vanguard Total World Stock ETF,Index ETF,NYSEARCA,Broad Market,USD
IWB,iShares Russell 1000 ETF,Index ETF,NYSEARCA,Large Cap,USD
IWD,iShares Russell 1000 Value ETF,Index ETF,NYSEARCA,Value,USD
IWF,iShares Russell 1000 Growth ETF,Index ETF,NYSEARCA,Growth,USD
IWO,iShares Russell 2000 Growth ETF,Index ETF,NYSEARCA,Small Cap Growth,USD
IWN,iShares Russell 2000 Value ETF,Index ETF,NYSEARCA,Small Cap Value,USD
VB,Vanguard Small-Cap ETF,Index ETF,NYSEARCA,Small Cap,USD
VO,Vanguard Mid-Cap ETF,Index ETF,NYSEARCA,Mid Cap,USD
VV,Vanguard Large-Cap ETF,Index ETF,NYSEARCA,Large Cap,USD
SCHX,Schwab U.S. Large-Cap ETF,Index ETF,NYSEARCA,Large Cap,USD
SCHA,Schwab U.S. Small-Cap ETF,Index ETF,NYSEARCA,Small Cap,USD
XLK,Technology Select Sector SPDR Fund,Sector ETF,NYSEARCA,Technology,USD
XLF,Financial Select Sector SPDR Fund,Sector ETF,NYSEARCA,Financials,USD
XLV,Health Care Select Sector SPDR Fund,Sector ETF,NYSEARCA,Health Care,USD
XLY,Consumer Discretionary Select Sector SPDR Fund,Sector ETF,NYSEARCA,Consumer Discretionary,USD
XLP,Consumer Staples Select Sector SPDR Fund,Sector ETF,NYSEARCA,Consumer Staples,USD
XLE,Energy Select Sector SPDR Fund,Sector ETF,NYSEARCA,Energy,USD
XLI,Industrial Select Sector SPDR Fund,Sector ETF,NYSEARCA,Industrials,USD
XLU,Utilities Select Sector SPDR Fund,Sector ETF,NYSEARCA,Utilities,USD
XLB,Materials Select Sector SPDR Fund,Sector ETF,NYSEARCA,Materials,USD
XLC,Communication Services Select Sector SPDR Fund,Sector ETF,NYSEARCA,Communication Services,USD
XLRE,Real Estate Select Sector SPDR Fund,Sector ETF,NYSEARCA,Real Estate,USD
XBI,SPDR S&P Biotech ETF,Sector ETF,NYSEARCA,Biotechnology,USD
IBB,iShares Biotechnology ETF,Sector ETF,NASDAQ,Biotechnology,USD
